,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
20,45,No,No Travel,Research & Development,1,1,Other,21,3,Female,2,3,Healthcare Representative,3,Unknown,3,Unknown,4,4,1,3,2,23,14,4,1978,107480.0,No
21,33,No,No Travel,Research & Development,1,2,Life Sciences,22,1,Male,3,3,Research Director,4,Single,1,Yes,3,3,0,1,3,15,8,12,1990,100071.84,Sí
22,36,No,No Travel,Research & Development,8,3,Other,23,3,Male,3,3,Healthcare Representative,3,Divorced,1,Unknown,3,2,3,2,3,17,12,8,1987,100071.84,Sí
23,47,No,No Travel,Sales,2,2,Other,24,3,Male,3,4,Manager,4,Married,1,Unknown,3,3,1,3,2,26,3,0,1976,167520.0,No
24,36,No,Travel Rarely,Sales,42,2,Life Sciences,25,42,Female,3,2,Sales Executive,4,Unknown,1,Unknown,3,4,1,1,3,18,4,11,1987,62010.0,Sí
25,35,No,No Travel,Research & Development,9,3,Life Sciences,26,4,Male,2,3,Manufacturing Director,3,Married,1,Yes,4,2,1,2,3,17,5,15,1988,100071.84,No
26,52,Yes,No Travel,Sales,2,1,Other,27,1,Male,1,5,Manager,4,Married,1,No,3,4,1,3,3,32,6,9,1971,198450.0,Sí
27,36,No,No Travel,Research & Development,2,4,Life Sciences,28,3,Male,3,2,Manufacturing Director,2,Single,9,Yes,3,4,0,2,3,16,5,12,1987,53914.11,No
28,33,No,Travel Rarely,Research & Development,28,4,Life Sciences,29,2,Female,3,2,Laboratory Technician,3,Married,1,Unknown,3,2,1,3,3,15,5,7,1990,53914.11,Sí
29,34,No,No Travel,Sales,10,3,Life Sciences,30,4,Female,3,2,Sales Executive,3,Unknown,1,Yes,3,3,1,3,3,15,0,7,1989,40010.0,Sí
30,41,No,No Travel,Sales,37,1,Other,31,37,Male,3,3,Sales Executive,3,Divorced,0,Unknown,3,4,1,3,4,22,13,5,1982,104470.0,Sí
31,47,No,No Travel,Research & Development,25,3,Medical,32,1,Female,3,3,Healthcare Representative,3,Unknown,2,Unknown,4,2,0,3,3,17,12,11,1976,100071.84,Sí
32,53,No,Travel Rarely,Sales,5,3,Other,33,3,Male,3,5,Manager,3,Unknown,4,Unknown,3,4,1,3,2,14,4,8,1970,191324.62,Sí
33,35,No,No Travel,Sales,1,4,Marketing,34,3,Female,2,2,Sales Executive,1,Single,0,No,3,2,0,2,3,15,2,8,1988,53914.11,No
34,34,No,Travel Rarely,Research & Development,6,4,Other,35,1,Male,3,2,Research Scientist,3,Single,1,Unknown,3,3,0,3,3,16,2,10,1989,53914.08,Sí
35,46,No,Travel Rarely,Sales,1,2,Other,36,2,Male,3,3,Sales Executive,1,Divorced,1,No,4,3,3,2,3,24,15,7,1977,100071.84,Sí
36,43,No,No Travel,Sales,16,3,Other,37,4,Male,3,4,Manager,4,Married,5,Unknown,4,3,1,3,3,17,1,9,1980,160640.0,Sí
37,36,No,No Travel,Research & Development,6,3,Life Sciences,38,4,Female,3,1,Laboratory Technician,4,Married,0,Unknown,3,3,1,4,3,15,10,11,1987,32100.0,Sí
38,60,No,Travel Frequently,Sales,28,3,Other,39,3,Male,2,3,Sales Executive,1,Married,4,No,3,4,0,5,4,18,13,11,1963,102660.0,Sí
39,40,No,Travel Frequently,Sales,5,4,Other,40,4,Female,2,3,Sales Executive,1,Married,5,Yes,4,3,1,2,3,18,1,12,1983,104750.0,No
40,32,No,Travel Rarely,Research & Development,4,3,Other,41,3,Male,2,2,Manufacturing Director,3,Married,1,No,3,3,1,3,3,14,6,8,1991,61620.0,No
41,41,No,Travel Rarely,Research & Development,35,3,Other,42,35,Female,3,1,Laboratory Technician,1,Single,2,Yes,3,3,0,3,3,18,2,17,1982,47210.0,Sí
42,53,No,No Travel,Sales,2,2,Medical,43,3,Female,3,4,Manager,3,Divorced,6,No,3,3,1,3,4,17,15,2,1970,153407.07,No
43,36,Yes,Travel Rarely,Research & Development,16,4,Other,44,3,Male,4,1,Laboratory Technician,1,Single,1,Unknown,3,3,0,1,3,17,15,14,1987,28111.13,Sí
44,46,No,No Travel,Research & Development,8,4,Life Sciences,45,4,Male,2,2,Research Scientist,1,Divorced,8,Yes,4,1,3,2,3,16,1,7,1977,46150.0,No
45,38,No,Travel Rarely,Sales,1,4,Other,46,4,Female,3,2,Sales Executive,2,Married,0,No,3,1,2,3,3,15,5,8,1985,53914.11,Sí
46,51,No,No Travel,Research & Development,1,4,Other,47,1,Male,2,3,Healthcare Representative,1,Single,3,Unknown,4,3,0,1,2,13,12,8,1972,100071.84,Sí
47,43,No,No Travel,Sales,26,2,Other,48,3,Female,3,4,Manager,4,Married,1,Yes,3,4,2,3,4,25,4,12,1980,169590.0,Sí
48,37,No,No Travel,Research & Development,1,3,Life Sciences,49,4,Male,3,1,Research Scientist,4,Single,1,No,3,2,0,3,3,17,5,7,1986,28111.13,Sí
49,32,No,Travel Rarely,Sales,8,2,Technical Degree,50,3,Male,2,2,Sales Executive,2,Married,1,Yes,3,4,0,2,3,13,11,9,1991,53914.11,Sí
50,38,No,No Travel,Research & Development,1,3,Other,51,4,Male,3,3,Research Director,1,Married,1,Unknown,3,2,1,3,3,15,5,11,1985,100071.84,No
51,46,No,No Travel,Sales,3,3,Life Sciences,52,3,Male,3,4,Manager,2,Unknown,8,No,3,4,1,2,4,13,5,1,1977,153407.07,Sí
52,35,Yes,Travel Rarely,Sales,10,3,Medical,53,4,Female,2,3,Sales Executive,1,Married,9,Unknown,3,3,0,3,3,13,6,0,1988,103059.95999999999,No
53,43,No,No Travel,Sales,6,3,Medical,54,1,Male,2,5,Manager,3,Married,7,No,3,4,0,2,3,16,6,14,1980,191324.63999999998,Sí
54,56,No,No Travel,Research & Development,1,4,Life Sciences,55,3,Female,3,2,Healthcare Representative,3,Divorced,1,No,3,1,1,2,2,13,1,9,1967,53914.08,Sí
55,36,No,No Travel,Sales,15,4,Marketing,56,4,Female,1,2,Sales Executive,4,Divorced,1,No,4,1,1,4,2,15,11,11,1987,54060.0,Sí
56,38,No,No Travel,Research & Development,6,3,Medical,57,2,Male,1,2,Research Scientist,4,Unknown,7,Unknown,3,4,3,3,3,13,1,9,1985,53914.11,Sí
57,49,No,No Travel,Research & Development,26,4,Medical,58,3,Male,3,2,Manufacturing Director,1,Unknown,1,No,3,3,0,2,2,15,5,11,1974,53914.11,No
58,39,No,Travel Rarely,Sales,4,4,Life Sciences,59,4,Male,2,2,Sales Executive,3,Married,4,Unknown,3,3,1,1,4,15,5,9,1984,59020.0,Sí
59,40,No,No Travel,Sales,4,4,Other,60,3,Female,2,3,Sales Executive,4,Married,7,No,3,1,1,2,2,12,2,11,1983,108550.0,Sí
60,36,No,No Travel,Research & Development,5,2,Other,61,4,Female,3,2,Laboratory Technician,2,Single,8,No,3,4,0,3,4,13,3,7,1987,59140.0,Sí
61,37,No,No Travel,Research & Development,25,5,Other,62,2,Male,3,2,Research Scientist,3,Married,3,Yes,3,1,2,2,3,13,10,7,1986,53914.11,No
62,35,No,No Travel,Research & Development,6,4,Other,63,2,Female,1,2,Research Scientist,4,Unknown,1,Unknown,3,2,0,3,3,17,11,8,1988,66460.0,Sí
63,33,No,Travel Frequently,Research & Development,6,3,Life Sciences,64,3,Female,3,2,Healthcare Representative,4,Divorced,3,No,4,3,1,2,1,13,4,7,1990,53914.11,No
64,50,No,Travel Rarely,Research & Development,24,3,Other,65,4,Female,3,4,Manufacturing Director,3,Married,3,Yes,3,4,1,2,3,12,1,5,1973,139730.0,No
65,48,No,Travel Rarely,Research & Development,4,4,Other,66,3,Female,2,3,Healthcare Representative,3,Single,7,Unknown,3,2,0,3,3,15,4,8,1975,100071.84,Sí
66,44,No,Travel Rarely,Sales,28,3,Other,67,4,Male,4,4,Sales Executive,4,Married,3,Unknown,3,3,1,2,3,12,11,11,1979,133200.0,Sí
67,44,No,Travel Rarely,Research & Development,29,4,Other,68,4,Female,3,2,Research Scientist,4,Single,1,Unknown,4,2,0,3,3,20,13,17,1979,53914.11,Sí
68,40,No,No Travel,Research & Development,25,1,Other,69,25,Male,4,2,Healthcare Representative,3,Unknown,5,No,4,2,3,0,3,12,11,8,1983,53914.11,Sí
69,34,No,Travel Rarely,Research & Development,2,4,Other,70,3,Male,3,2,Healthcare Representative,4,Single,1,Unknown,3,4,0,2,4,14,4,11,1989,66870.0,Sí
70,35,No,No Travel,Research & Development,8,4,Other,71,3,Male,3,2,Healthcare Representative,3,Unknown,1,Unknown,3,4,1,5,3,14,2,9,1988,53914.11,Sí
71,50,No,No Travel,Research & Development,17,5,Life Sciences,72,4,Male,2,3,Research Director,1,Unknown,5,No,3,3,3,3,3,14,1,11,1973,100071.84,No
72,49,No,No Travel,Research & Development,6,1,Life Sciences,73,3,Male,2,4,Healthcare Representative,3,Unknown,2,Unknown,3,2,1,3,3,15,2,12,1974,153407.07,Sí
73,38,No,Travel Frequently,Research & Development,1,3,Life Sciences,74,4,Female,3,2,Research Scientist,4,Unknown,7,No,3,4,2,4,3,13,2,9,1985,47350.0,Sí
74,33,No,No Travel,Research & Development,21,3,Other,75,2,Female,4,1,Laboratory Technician,2,Unknown,1,No,3,4,3,6,3,14,2,13,1990,28111.13,Sí
75,47,No,Travel Rarely,Research & Development,4,3,Life Sciences,76,3,Male,2,3,Manufacturing Director,2,Divorced,8,Yes,3,3,1,4,3,22,14,10,1976,100071.84,Sí
76,38,No,No Travel,Research & Development,8,3,Other,77,4,Male,2,2,Research Scientist,2,Divorced,1,Unknown,3,3,1,3,3,20,0,7,1985,53914.08,No
77,37,No,Travel Rarely,Research & Development,10,3,Life Sciences,78,3,Male,4,3,Research Director,4,Unknown,1,Yes,4,1,1,2,3,16,6,8,1986,100071.84,Sí
78,30,No,No Travel,Research & Development,2,3,Other,79,3,Female,2,2,Healthcare Representative,4,Married,1,No,3,1,3,3,3,11,10,8,1993,53914.11,Sí
79,58,No,Travel Rarely,Sales,18,4,Other,80,4,Female,3,4,Sales Executive,3,Single,0,Unknown,3,3,0,1,2,37,1,8,1965,138720.0,Sí
80,34,No,Travel Rarely,Sales,5,3,Other,81,3,Male,2,3,Manager,1,Single,2,Unknown,3,4,0,6,3,11,5,8,1989,100071.84,No
81,58,Yes,Travel Rarely,Research & Development,23,4,Medical,82,4,Male,3,3,Healthcare Representative,4,Married,1,Unknown,3,4,1,3,2,40,15,6,1965,100071.84,Sí
82,38,No,No Travel,Sales,3,3,Life Sciences,83,1,Female,3,3,Sales Executive,3,Divorced,0,Unknown,3,3,2,6,2,16,5,13,1985,100071.84,Sí
83,29,No,Travel Frequently,Sales,1,1,Other,84,2,Male,3,3,Sales Executive,4,Married,1,Unknown,3,4,1,5,3,11,4,1,1994,100071.84,Sí
84,55,No,Travel Rarely,Sales,1,3,Medical,85,4,Female,3,5,Manager,1,Single,0,Unknown,3,3,0,2,3,36,4,13,1968,190450.0,Sí
85,41,No,No Travel,Sales,10,4,Other,86,4,Female,3,4,Manager,2,Unknown,1,Unknown,3,2,0,2,3,22,0,4,1982,160149.96,Sí
86,39,No,Travel Rarely,Research & Development,1,3,Other,87,3,Female,4,3,Healthcare Representative,4,Unknown,0,No,3,1,3,5,2,18,3,7,1984,96130.0,No
87,38,No,No Travel,Research & Development,15,2,Life Sciences,88,3,Female,2,3,Research Director,4,Unknown,0,Unknown,3,2,1,3,3,11,2,9,1985,115100.0,Sí
88,43,No,No Travel,Research & Development,12,3,Other,89,1,Female,2,4,Research Director,2,Unknown,1,No,3,3,1,3,3,25,3,9,1980,153407.07,Sí
89,31,No,No Travel,Research & Development,30,2,Other,90,2,Male,3,2,Manufacturing Director,1,Married,1,No,3,2,1,5,1,13,3,12,1992,43059.96,Sí
90,50,No,Travel Rarely,Sales,27,4,Life Sciences,91,27,Female,2,4,Manager,3,Married,0,No,3,2,1,2,3,27,15,7,1973,170460.0,Sí
91,35,No,No Travel,Research & Development,25,3,Technical Degree,92,4,Female,2,3,Manufacturing Director,2,Married,3,No,3,1,0,2,3,13,4,8,1988,100071.84,No
92,47,No,No Travel,Research & Development,16,4,Other,93,3,Female,4,2,Manufacturing Director,3,Unknown,1,Yes,3,3,0,3,3,19,2,7,1976,50670.0,Sí
93,35,No,No Travel,Research & Development,25,4,Other,94,3,Male,3,3,Healthcare Representative,3,Divorced,1,Yes,3,3,1,3,2,16,10,1,1988,100071.84,Sí
94,40,No,Travel Rarely,Research & Development,20,4,Other,95,1,Female,3,3,Healthcare Representative,4,Married,4,Unknown,4,4,1,6,3,11,11,1,1983,100071.84,Sí
95,45,No,No Travel,Sales,9,4,Life Sciences,96,2,Male,2,2,Sales Executive,3,Married,1,Unknown,3,4,1,2,3,15,4,12,1978,53914.11,No
96,33,No,No Travel,Research & Development,9,3,Medical,97,1,Female,3,1,Research Scientist,4,Married,0,Unknown,3,2,1,5,3,14,4,10,1990,28111.13,No
97,36,No,Travel Frequently,Research & Development,3,3,Other,98,3,Female,3,1,Research Scientist,2,Married,1,No,3,3,0,2,2,11,0,7,1987,36920.0,No
98,45,Yes,No Travel,Sales,13,3,Marketing,99,1,Male,1,5,Manager,2,Unknown,2,Yes,3,1,0,2,3,24,1,11,1978,191324.62,Sí
99,51,No,Travel Frequently,Sales,27,3,Other,100,27,Female,3,5,Manager,2,Unknown,4,Yes,3,1,1,5,2,29,11,10,1972,198470.0,No
100,34,No,Travel Rarely,Sales,7,2,Technical Degree,101,2,Female,3,1,Sales Representative,3,Unknown,0,Yes,4,2,1,4,3,11,5,7,1989,23080.0,No
101,43,No,Travel Rarely,Research & Development,15,2,Other,102,3,Female,2,4,Research Director,3,Unknown,1,No,4,1,1,3,3,14,6,11,1980,153407.07,Sí
102,34,No,No Travel,Research & Development,5,2,Medical,103,2,Female,2,2,Laboratory Technician,4,Unknown,1,No,3,3,1,3,3,15,4,13,1989,53914.11,No
103,38,No,No Travel,Human Resources,2,3,Other,104,1,Female,3,1,Human Resources,2,Divorced,5,No,3,4,3,3,3,11,3,8,1985,28111.13,Sí
104,48,No,No Travel,Research & Development,10,3,Other,105,4,Female,2,5,Research Director,2,Unknown,4,No,3,4,0,3,3,22,12,9,1975,191324.62,No
105,34,No,No Travel,Research & Development,22,4,Other,106,3,Female,2,2,Research Scientist,4,Married,1,Yes,3,2,0,3,3,15,6,11,1989,57470.0,No
106,32,No,Travel Rarely,Sales,31,4,Other,107,31,Male,3,3,Sales Executive,4,Unknown,1,No,3,3,2,3,3,14,5,7,1991,104220.0,Sí
107,29,No,Travel Rarely,Research & Development,21,4,Life Sciences,108,2,Male,4,3,Manufacturing Director,1,Divorced,1,No,3,3,1,1,3,10,8,8,1994,100071.84,No
108,46,No,No Travel,Research & Development,1,3,Medical,109,3,Female,2,3,Healthcare Representative,1,Married,2,Yes,3,3,1,5,2,10,9,5,1977,100071.84,No
109,30,No,No Travel,Human Resources,9,3,Other,110,3,Female,3,2,Human Resources,4,Married,0,Yes,3,4,0,2,1,11,4,7,1993,63470.0,No
110,45,No,No Travel,Research & Development,9,3,Life Sciences,111,2,Female,3,2,Laboratory Technician,2,Unknown,8,No,3,3,1,2,3,17,0,15,1978,23480.0,Sí
111,30,No,Travel Rarely,Sales,5,3,Other,112,2,Male,3,3,Sales Executive,4,Unknown,2,No,3,3,1,2,3,10,7,4,1993,100071.84,Sí
112,30,No,No Travel,Research & Development,9,3,Other,113,3,Female,3,2,Laboratory Technician,1,Unknown,1,No,3,3,2,4,3,12,6,10,1993,30720.0,Sí
113,34,No,Travel Frequently,Research & Development,29,1,Other,114,4,Female,2,2,Manufacturing Director,3,Married,1,Unknown,3,3,0,2,2,10,1,9,1989,53914.08,No
114,51,No,Travel Rarely,Research & Development,8,4,Life Sciences,115,2,Female,2,3,Research Director,2,Married,5,No,3,4,2,5,1,10,4,7,1972,124900.0,No
115,34,No,No Travel,Research & Development,39,4,Life Sciences,116,39,Female,2,2,Manufacturing Director,1,Unknown,6,Unknown,3,2,1,3,3,11,5,9,1989,53914.11,Sí
116,35,No,Travel Rarely,Sales,16,3,Other,117,3,Female,3,3,Sales Executive,2,Married,0,Unknown,3,3,2,3,2,11,6,9,1988,80200.0,Sí
117,45,No,Travel Frequently,Research & Development,7,3,Life Sciences,118,1,Female,3,3,Laboratory Technician,1,Unknown,1,Unknown,3,1,1,2,3,24,9,11,1978,100071.84,Sí
118,39,No,No Travel,Sales,10,1,Other,119,3,Female,3,4,Manager,1,Married,1,Unknown,3,4,0,3,3,21,11,10,1984,170680.0,Sí
119,31,No,No Travel,Research & Development,7,2,Other,120,3,Male,2,3,Manufacturing Director,3,Married,1,No,4,1,1,2,3,10,8,9,1992,89430.0,No
120,39,No,No Travel,Sales,7,2,Other,121,3,Female,2,5,Manager,4,Married,1,Unknown,3,1,1,2,3,21,13,3,1984,192720.0,Sí
121,45,No,Travel Rarely,Research & Development,8,4,Other,122,4,Female,3,2,Research Scientist,4,Unknown,9,No,3,1,2,3,3,10,9,8,1978,53914.11,Sí
122,30,No,Travel Rarely,Sales,5,3,Marketing,123,4,Male,2,2,Sales Executive,3,Unknown,1,Unknown,3,3,3,2,3,10,1,2,1993,53914.08,Sí
123,31,No,No Travel,Research & Development,7,4,Medical,124,3,Male,3,3,Manufacturing Director,4,Unknown,1,Unknown,3,3,0,2,2,11,4,10,1992,100071.84,No
124,36,No,No Travel,Sales,3,4,Medical,125,1,Female,2,3,Sales Executive,4,Married,4,No,3,1,1,2,3,13,1,12,1987,100071.84,Sí
125,36,No,Travel Rarely,Sales,2,2,Other,126,2,Female,2,3,Sales Executive,3,Married,1,Unknown,3,2,2,2,3,10,9,0,1987,100071.84,Sí
126,55,No,Travel Rarely,Sales,18,5,Other,127,1,Male,3,4,Manager,2,Single,3,No,4,4,0,2,3,10,7,7,1968,153407.07,Sí
127,35,No,No Travel,Sales,1,3,Other,128,2,Female,3,2,Sales Executive,3,Unknown,9,Unknown,3,3,0,2,3,11,6,9,1988,53914.11,Sí
128,42,No,Travel Rarely,Research & Development,24,3,Medical,129,4,Female,3,3,Manufacturing Director,1,Married,1,Unknown,4,4,1,5,2,10,5,8,1981,100071.84,No
129,52,No,Travel Rarely,Research & Development,6,2,Other,130,4,Female,3,2,Research Scientist,1,Divorced,3,Yes,3,2,2,3,3,10,6,9,1971,55770.0,Sí
130,49,No,No Travel,Research & Development,18,4,Life Sciences,131,4,Female,2,5,Research Director,3,Unknown,1,Yes,3,3,1,5,3,31,0,9,1974,191324.62,Sí
131,34,No,Travel Rarely,Research & Development,1,5,Other,132,2,Female,3,1,Research Scientist,4,Married,1,No,3,4,1,4,2,10,8,8,1989,26910.0,Sí
132,33,Yes,Travel Rarely,Research & Development,1,4,Other,133,4,Female,3,1,Research Scientist,4,Single,1,Unknown,3,3,0,2,2,10,7,8,1990,28111.13,No
133,33,No,No Travel,Research & Development,7,3,Medical,134,3,Female,3,3,Research Director,3,Married,0,No,3,4,0,3,4,13,3,7,1990,100071.84,Sí
134,53,No,Travel Rarely,Research & Development,23,4,Other,135,4,Male,3,4,Research Director,4,Unknown,6,No,3,3,0,0,3,12,3,8,1970,153407.07,Sí
135,49,No,Travel Rarely,Research & Development,8,2,Other,136,1,Male,3,3,Laboratory Technician,2,Married,4,Unknown,3,3,1,3,2,26,1,7,1974,74030.0,No
136,35,No,No Travel,Sales,21,4,Other,137,21,Female,3,3,Sales Executive,4,Unknown,6,Unknown,3,2,1,2,3,10,0,8,1988,100071.84,No
137,38,No,Travel Rarely,Research & Development,17,1,Life Sciences,138,3,Male,2,3,Healthcare Representative,3,Married,0,Unknown,3,1,1,4,2,19,1,9,1985,88230.0,No
138,46,No,No Travel,Sales,3,1,Marketing,139,1,Female,3,4,Manager,3,Married,3,No,3,4,1,3,3,12,4,9,1977,153407.07,No
139,36,No,No Travel,Research & Development,18,4,Other,140,1,Female,3,2,Manufacturing Director,4,Single,2,Unknown,4,1,0,0,3,11,0,9,1987,53914.11,No
140,42,Yes,Travel Frequently,Sales,15,3,Life Sciences,141,15,Female,3,4,Sales Executive,1,Single,0,Unknown,3,2,0,2,2,21,13,14,1981,153407.07,Sí
141,34,No,Travel Frequently,Research & Development,1,3,Other,142,4,Female,2,2,Healthcare Representative,1,Single,0,No,4,3,0,3,3,13,4,9,1989,53914.08,Sí
142,30,No,Travel Rarely,Research & Development,1,3,Medical,143,4,Female,3,1,Research Scientist,2,Unknown,0,Yes,4,1,1,2,3,11,5,7,1993,35790.0,Sí
143,54,No,Travel Rarely,Research & Development,3,3,Life Sciences,144,4,Female,3,4,Research Director,4,Married,3,No,3,1,0,2,3,10,0,9,1969,177790.0,Sí
144,31,No,Travel Rarely,Research & Development,24,3,Medical,145,3,Male,2,2,Healthcare Representative,1,Single,1,No,3,2,0,2,3,10,1,8,1992,53914.11,No
145,44,No,No Travel,Sales,5,3,Other,146,2,Female,3,5,Manager,2,Married,7,No,3,3,1,5,3,22,3,10,1979,182130.0,Sí
146,55,No,No Travel,Research & Development,8,1,Other,147,4,Female,2,4,Healthcare Representative,2,Divorced,1,Yes,3,4,1,3,3,33,15,0,1968,135770.0,No
147,44,No,Travel Rarely,Sales,4,2,Life Sciences,148,3,Female,4,5,Manager,1,Divorced,1,No,3,4,2,4,2,25,14,13,1979,191900.0,No
148,34,No,Travel Frequently,Human Resources,11,3,Life Sciences,149,3,Female,2,2,Human Resources,2,Unknown,4,No,3,4,2,5,4,10,1,8,1989,53914.08,Sí
149,39,No,No Travel,Sales,13,4,Other,150,3,Male,2,4,Manager,2,Divorced,6,Yes,3,4,2,4,3,19,15,2,1984,171230.0,No
150,55,No,Travel Rarely,Sales,2,2,Medical,151,4,Male,1,5,Manager,3,Unknown,4,Unknown,3,4,1,5,3,19,9,11,1968,191870.0,Sí
151,51,No,No Travel,Sales,5,3,Life Sciences,152,3,Female,3,4,Manager,2,Unknown,1,Unknown,3,2,1,2,3,33,0,10,1972,153407.07,Sí
152,58,Yes,No Travel,Research & Development,14,4,Medical,153,14,Male,2,3,Manufacturing Director,1,Married,7,Unknown,3,4,0,0,2,10,5,9,1965,100080.0,Sí
153,48,No,No Travel,Research & Development,4,3,Life Sciences,154,4,Female,3,3,Manufacturing Director,4,Single,1,No,3,3,0,2,3,10,0,8,1975,100071.84,Sí
154,29,No,Travel Rarely,Human Resources,17,3,Other,155,2,Female,2,3,Human Resources,1,Single,1,Unknown,3,1,0,3,2,10,0,9,1994,79880.0,No
155,34,No,No Travel,Sales,3,3,Other,156,4,Female,1,2,Sales Executive,1,Single,3,No,3,4,0,2,3,13,3,12,1989,53914.11,Sí
156,42,No,Travel Frequently,Research & Development,9,2,Other,157,1,Male,3,1,Laboratory Technician,4,Unknown,1,Unknown,3,3,0,3,3,12,5,8,1981,28111.08,Sí
157,57,No,Travel Rarely,Research & Development,1,2,Life Sciences,158,2,Female,4,2,Research Scientist,3,Married,0,No,4,1,1,2,2,12,2,8,1966,53914.11,Sí
158,34,Yes,Travel Rarely,Sales,24,4,Other,159,1,Male,2,2,Sales Executive,2,Single,0,Yes,4,3,0,2,4,15,10,10,1989,53914.11,No
159,54,No,Travel Frequently,Sales,11,4,Medical,160,2,Male,3,4,Manager,4,Unknown,3,No,3,1,1,2,3,14,1,12,1969,153407.04,Sí
160,34,No,Travel Rarely,Sales,1,3,Other,161,4,Female,2,3,Sales Executive,3,Unknown,1,Unknown,3,4,0,3,3,10,8,6,1989,70830.0,No
161,29,No,No Travel,Research & Development,3,1,Medical,162,2,Female,3,1,Laboratory Technician,1,Single,1,Unknown,3,4,0,3,3,10,1,5,1994,47229.96,Sí
162,35,No,Travel Rarely,Research & Development,28,3,Life Sciences,163,2,Female,4,2,Laboratory Technician,3,Unknown,1,Unknown,3,4,2,3,2,10,6,8,1988,34070.0,Sí
163,35,Yes,No Travel,Sales,12,4,Other,164,4,Female,3,2,Sales Executive,4,Unknown,3,Unknown,4,1,0,2,4,11,6,7,1988,53914.11,Sí
