,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
12,38,No,Unknown,1362.5238095238096,Research & Development,10,3,Medical,13,2,Male,1,3,Research Director,3,Married,4492.84,28613.0,3,No,12,1,1,3,18,1,11,1985,132060.0,Sí
13,41,Yes,Travel Rarely,2016.547619047619,Research & Development,12,3,Unknown,14,2,Male,3,5,Research Director,3,Married,4492.84,42347.5,1,No,12,4,0,0,22,15,8,1982,195450.0,No
14,55,No,Unknown,1973.9841269841268,Research & Development,14,4,Medical,15,3,Female,4,5,Research Director,2,Single,15943.72,41453.67,8,No,11,4,0,3,24,2,15,1968,53914.11,Sí
15,40,No,Travel Rarely,1861.373015873016,Sales,2,4,Unknown,16,3,Male,3,5,Manager,3,Unknown,15034.17,39088.83,0,No,14,4,0,2,20,1,12,1983,180410.0,No
16,58,Yes,Travel Rarely,1985.6984126984123,Research & Development,2,4,Unknown,17,4,Female,3,5,Research Director,2,Single,16038.33,41699.67,7,Yes,12,4,0,2,31,13,8,1965,192460.0,No
17,46,No,Travel Rarely,1582.7713464696226,Sales,2,3,Unknown,18,3,Male,3,4,Manager,1,Unknown,12783.92,33238.2,8,Unknown,23,1,0,2,26,15,9,1977,53914.11,No
18,35,No,Unknown,556.2566609977324,Research & Development,13,5,Life Sciences,19,2,Female,4,2,Research Scientist,1,Married,4492.84,11681.39,1,Unknown,11,4,0,2,16,1,10,1988,53914.11,No
19,40,No,Travel Rarely,1032.4872861766066,Research & Development,15,3,Life Sciences,20,1,Male,2,3,Manufacturing Director,3,Unknown,8339.32,21682.23,1,Unknown,13,4,2,2,18,14,12,1983,53914.11,Sí
20,45,No,No Travel,1108.920634920635,Research & Development,1,1,Unknown,21,3,Female,2,3,Healthcare Representative,3,Unknown,8956.67,23287.33,3,Unknown,23,4,1,3,23,14,4,1978,107480.0,No
21,33,No,Unknown,1032.4872861766066,Research & Development,1,2,Life Sciences,22,1,Male,3,3,Research Director,4,Single,4492.84,21682.23,1,Yes,12,3,0,1,15,8,12,1990,100071.84,Sí
22,36,No,Unknown,1032.4872861766066,Research & Development,8,3,Unknown,23,3,Male,3,3,Healthcare Representative,3,Divorced,4492.84,21682.23,1,Unknown,13,2,3,2,17,12,8,1987,100071.84,Sí
23,47,No,Unknown,1728.3809523809523,Sales,2,2,Other,24,3,Male,3,4,Manager,4,Married,4492.84,36296.0,1,Unknown,11,3,1,3,26,3,0,1976,167520.0,No
24,36,No,Travel Rarely,639.7857142857143,Sales,42,2,Life Sciences,25,42,Female,3,2,Sales Executive,4,Unknown,5167.5,13435.5,1,Unknown,14,4,1,1,18,4,11,1987,62010.0,Sí
25,35,No,Unknown,1032.4872861766066,Research & Development,9,3,Life Sciences,26,4,Male,2,3,Manufacturing Director,3,Married,4492.84,21682.23,1,Yes,20,2,1,2,17,5,15,1988,100071.84,No
26,52,Yes,Unknown,2047.5,Sales,2,1,Unknown,27,1,Male,1,5,Manager,4,Married,4492.84,42997.5,1,No,15,4,1,3,32,6,9,1971,198450.0,Sí
27,36,No,Unknown,556.2566609977324,Research & Development,2,4,Life Sciences,28,3,Male,3,2,Manufacturing Director,2,Single,4492.84,11681.39,9,Yes,11,4,0,2,16,5,12,1987,53914.11,No
28,33,No,Travel Rarely,556.2566609977324,Research & Development,28,4,Life Sciences,29,2,Female,3,2,Laboratory Technician,3,Married,4492.84,11681.39,1,Unknown,12,2,1,3,15,5,7,1990,53914.11,Sí
29,34,No,No Travel,412.8015873015873,Sales,10,3,Life Sciences,30,4,Female,3,2,Sales Executive,3,Unknown,3334.17,8668.83,1,Yes,14,3,1,3,15,0,7,1989,40010.0,Sí
30,41,No,Unknown,1077.8650793650793,Sales,37,1,Unknown,31,37,Male,3,3,Sales Executive,3,Divorced,8705.83,22635.17,0,Unknown,13,4,1,3,22,13,5,1982,104470.0,Sí
31,47,No,Unknown,1032.4872861766066,Research & Development,25,3,Medical,32,1,Female,3,3,Healthcare Representative,3,Unknown,8339.32,21682.23,2,Unknown,23,2,0,3,17,12,11,1976,53914.11,Sí
32,53,No,Travel Rarely,1973.9841269841268,Sales,5,3,Unknown,33,3,Male,3,5,Manager,3,Unknown,15943.72,41453.67,4,Unknown,11,4,1,3,14,4,8,1970,191324.62,Sí
33,35,No,Unknown,556.2566609977324,Sales,1,4,Marketing,34,3,Female,2,2,Sales Executive,1,Single,4492.84,11681.39,0,No,14,2,0,2,15,2,8,1988,53914.11,No
34,34,No,Travel Rarely,556.2566609977324,Research & Development,6,4,Other,35,1,Male,3,2,Research Scientist,3,Single,4492.84,11681.39,1,Unknown,14,3,0,3,16,2,10,1989,53914.11,Sí
35,46,No,Travel Rarely,1032.4872861766066,Sales,1,2,Unknown,36,2,Male,3,3,Sales Executive,1,Divorced,8339.32,21682.23,1,No,25,3,3,2,24,15,7,1977,100071.84,Sí
36,43,No,Unknown,1657.3968253968255,Sales,16,3,Unknown,37,4,Male,3,4,Manager,4,Married,4492.84,34805.33,5,Unknown,22,3,1,3,17,1,9,1980,160640.0,Sí
37,36,No,Unknown,331.1904761904762,Research & Development,6,3,Life Sciences,38,4,Female,3,1,Laboratory Technician,4,Married,2675.0,6955.0,0,Unknown,11,3,1,4,15,10,11,1987,32100.0,Sí
38,60,No,Travel Frequently,1059.1904761904764,Sales,28,3,Unknown,39,3,Male,2,3,Sales Executive,1,Married,8555.0,22243.0,4,No,19,4,0,5,18,13,11,1963,102660.0,Sí
39,40,No,Travel Frequently,1080.7539682539684,Sales,5,4,Unknown,40,4,Female,2,3,Sales Executive,1,Married,8729.17,22695.83,5,Yes,21,3,1,2,18,1,12,1983,104750.0,No
40,32,No,Travel Rarely,635.7619047619048,Research & Development,4,3,Unknown,41,3,Male,2,2,Manufacturing Director,3,Married,4492.84,13351.0,1,No,12,3,1,3,14,6,8,1991,61620.0,No
41,41,No,Travel Rarely,487.0873015873016,Research & Development,35,3,Unknown,42,35,Female,3,1,Laboratory Technician,1,Single,3934.17,10228.83,2,Yes,13,3,0,3,18,2,17,1982,47210.0,Sí
42,53,No,Unknown,1582.7713464696226,Sales,2,2,Medical,43,3,Female,3,4,Manager,3,Divorced,12783.92,33238.2,6,No,13,3,1,3,17,15,2,1970,153407.07,No
43,36,Yes,Travel Rarely,290.03550973654063,Research & Development,16,4,Unknown,44,3,Male,4,1,Laboratory Technician,1,Single,4492.84,6090.75,1,Unknown,16,3,0,1,17,15,14,1987,28111.13,Sí
44,46,No,Unknown,476.1507936507937,Research & Development,8,4,Life Sciences,45,4,Male,2,2,Research Scientist,1,Divorced,3845.83,9999.17,8,Yes,23,1,3,2,16,1,7,1977,46150.0,No
45,38,No,Travel Rarely,556.2566609977324,Sales,1,4,Unknown,46,4,Female,3,2,Sales Executive,2,Married,4492.84,11681.39,0,No,15,1,2,3,15,5,8,1985,53914.11,Sí
46,51,No,Unknown,1032.4872861766066,Research & Development,1,4,Unknown,47,1,Male,2,3,Healthcare Representative,1,Single,8339.32,21682.23,3,Unknown,20,3,0,1,13,12,8,1972,100071.84,Sí
47,43,No,Unknown,1749.7380952380954,Sales,26,2,Unknown,48,3,Female,3,4,Manager,4,Married,14132.5,36744.5,1,Yes,12,4,2,3,25,4,12,1980,169590.0,Sí
48,37,No,Unknown,290.03550973654063,Research & Development,1,3,Life Sciences,49,4,Male,3,1,Research Scientist,4,Single,4492.84,6090.75,1,No,12,2,0,3,17,5,7,1986,28111.13,Sí
49,32,No,Travel Rarely,556.2566609977324,Sales,8,2,Technical Degree,50,3,Male,2,2,Sales Executive,2,Married,4492.84,11681.39,1,Yes,11,4,0,2,13,11,9,1991,53914.11,Sí
50,38,No,Unknown,1032.4872861766066,Research & Development,1,3,Unknown,51,4,Male,3,3,Research Director,1,Married,8339.32,21682.23,1,Unknown,13,2,1,3,15,5,11,1985,100071.84,No
51,46,No,Unknown,1582.7713464696226,Sales,3,3,Life Sciences,52,3,Male,3,4,Manager,2,Unknown,12783.92,33238.2,8,No,12,4,1,2,13,5,1,1977,153407.07,Sí
52,35,Yes,Travel Rarely,1063.3174603174605,Sales,10,3,Medical,53,4,Female,2,3,Sales Executive,1,Married,8588.33,22329.67,9,Unknown,17,3,0,3,13,6,0,1988,53914.11,No
53,43,No,Unknown,1973.9841269841268,Sales,6,3,Medical,54,1,Male,2,5,Manager,3,Married,15943.72,41453.67,7,No,13,4,0,2,16,6,14,1980,53914.11,Sí
54,56,No,No Travel,556.2566609977324,Research & Development,1,4,Life Sciences,55,3,Female,3,2,Healthcare Representative,3,Divorced,4492.84,11681.39,1,No,21,1,1,2,13,1,9,1967,53914.11,Sí
55,36,No,No Travel,557.7619047619048,Sales,15,4,Marketing,56,4,Female,1,2,Sales Executive,4,Divorced,4505.0,11713.0,1,No,24,1,1,4,15,11,11,1987,54060.0,Sí
56,38,No,Unknown,556.2566609977324,Research & Development,6,3,Medical,57,2,Male,1,2,Research Scientist,4,Unknown,4492.84,11681.39,7,Unknown,12,4,3,3,13,1,9,1985,53914.11,Sí
57,49,No,Unknown,556.2566609977324,Research & Development,26,4,Medical,58,3,Male,3,2,Manufacturing Director,1,Unknown,4492.84,11681.39,1,No,14,3,0,2,15,5,11,1974,53914.11,No
58,39,No,Travel Rarely,608.936507936508,Sales,4,4,Life Sciences,59,4,Male,2,2,Sales Executive,3,Married,4918.33,12787.67,4,Unknown,14,3,1,1,15,5,9,1984,59020.0,Sí
59,40,No,Unknown,1119.9603174603176,Sales,4,4,Unknown,60,3,Female,2,3,Sales Executive,4,Married,4492.84,23519.17,7,No,11,1,1,2,12,2,11,1983,108550.0,Sí
60,36,No,Unknown,610.1746031746031,Research & Development,5,2,Unknown,61,4,Female,3,2,Laboratory Technician,2,Single,4928.33,12813.67,8,No,16,4,0,3,13,3,7,1987,59140.0,Sí
61,37,No,Unknown,556.2566609977324,Research & Development,25,5,Unknown,62,2,Male,3,2,Research Scientist,3,Married,4492.84,11681.39,3,Yes,15,1,2,2,13,10,7,1986,53914.11,No
62,35,No,Unknown,685.6984126984128,Research & Development,6,4,Unknown,63,2,Female,1,2,Research Scientist,4,Unknown,5538.33,14399.67,1,Unknown,13,2,0,3,17,11,8,1988,66460.0,Sí
63,33,No,Travel Frequently,556.2566609977324,Research & Development,6,3,Life Sciences,64,3,Female,3,2,Healthcare Representative,4,Divorced,4492.84,11681.39,3,No,23,3,1,2,13,4,7,1990,53914.11,No
64,50,No,Travel Rarely,1441.65873015873,Research & Development,24,3,Unknown,65,4,Female,3,4,Manufacturing Director,3,Married,4492.84,30274.83,3,Yes,18,4,1,2,12,1,5,1973,139730.0,No
65,48,No,Travel Rarely,1032.4872861766066,Research & Development,4,4,Unknown,66,3,Female,2,3,Healthcare Representative,3,Single,4492.84,21682.23,7,Unknown,14,2,0,3,15,4,8,1975,100071.84,Sí
66,44,No,Travel Rarely,1374.2857142857142,Sales,28,3,Unknown,67,4,Male,4,4,Sales Executive,4,Married,11100.0,28860.0,3,Unknown,18,3,1,2,12,11,11,1979,53914.11,Sí
67,44,No,Travel Rarely,556.2566609977324,Research & Development,29,4,Unknown,68,4,Female,3,2,Research Scientist,4,Single,4492.84,11681.39,1,Unknown,25,2,0,3,20,13,17,1979,53914.11,Sí
68,40,No,Unknown,556.2566609977324,Research & Development,25,1,Unknown,69,25,Male,4,2,Healthcare Representative,3,Unknown,4492.84,11681.39,5,No,20,2,3,0,12,11,8,1983,53914.11,Sí
69,34,No,Travel Rarely,689.9285714285714,Research & Development,2,4,Unknown,70,3,Male,3,2,Healthcare Representative,4,Single,5572.5,14488.5,1,Unknown,11,4,0,2,14,4,11,1989,66870.0,Sí
70,35,No,No Travel,556.2566609977324,Research & Development,8,4,Unknown,71,3,Male,3,2,Healthcare Representative,3,Unknown,4492.84,11681.39,1,Unknown,12,4,1,5,14,2,9,1988,53914.11,Sí
71,50,No,Unknown,1032.4872861766066,Research & Development,17,5,Life Sciences,72,4,Male,2,3,Research Director,1,Unknown,4492.84,21682.23,5,No,15,3,3,3,14,1,11,1973,100071.84,No
72,49,No,Unknown,1582.7713464696226,Research & Development,6,1,Life Sciences,73,3,Male,2,4,Healthcare Representative,3,Unknown,12783.92,33238.2,2,Unknown,19,2,1,3,15,2,12,1974,153407.07,Sí
73,38,No,Travel Frequently,488.531746031746,Research & Development,1,3,Life Sciences,74,4,Female,3,2,Research Scientist,4,Unknown,4492.84,10259.17,7,No,15,4,2,4,13,2,9,1985,47350.0,Sí
74,33,No,Unknown,290.03550973654063,Research & Development,21,3,Unknown,75,2,Female,4,1,Laboratory Technician,2,Unknown,4492.84,6090.75,1,No,18,4,3,6,14,2,13,1990,28111.13,Sí
75,47,No,Travel Rarely,1032.4872861766066,Research & Development,4,3,Life Sciences,76,3,Male,2,3,Manufacturing Director,2,Divorced,8339.32,21682.23,8,Yes,12,3,1,4,22,14,10,1976,100071.84,Sí
76,38,No,Unknown,556.2566609977324,Research & Development,8,3,Unknown,77,4,Male,2,2,Research Scientist,2,Divorced,4492.84,11681.39,1,Unknown,16,3,1,3,20,0,7,1985,53914.11,No
77,37,No,Travel Rarely,1032.4872861766066,Research & Development,10,3,Life Sciences,78,3,Male,4,3,Research Director,4,Unknown,8339.32,21682.23,1,Yes,25,1,1,2,16,6,8,1986,100071.84,Sí
78,30,No,Unknown,556.2566609977324,Research & Development,2,3,Unknown,79,3,Female,2,2,Healthcare Representative,4,Married,4492.84,11681.39,1,No,19,1,3,3,11,10,8,1993,53914.11,Sí
79,58,No,Travel Rarely,1431.2380952380954,Sales,18,4,Unknown,80,4,Female,3,4,Sales Executive,3,Single,11560.0,30056.0,0,Unknown,13,3,0,1,37,1,8,1965,138720.0,Sí
80,34,No,Travel Rarely,1032.4872861766066,Sales,5,3,Unknown,81,3,Male,2,3,Manager,1,Single,8339.32,21682.23,2,Unknown,12,4,0,6,11,5,8,1989,53914.11,No
81,58,Yes,Travel Rarely,1032.4872861766066,Research & Development,23,4,Medical,82,4,Male,3,3,Healthcare Representative,4,Married,8339.32,21682.23,1,Unknown,12,4,1,3,40,15,6,1965,100071.84,Sí
82,38,No,Unknown,1032.4872861766066,Sales,3,3,Life Sciences,83,1,Female,3,3,Sales Executive,3,Divorced,8339.32,21682.23,0,Unknown,12,3,2,6,16,5,13,1985,53914.11,Sí
83,29,No,Travel Frequently,1032.4872861766066,Sales,1,1,Unknown,84,2,Male,3,3,Sales Executive,4,Married,8339.32,21682.23,1,Unknown,14,4,1,5,11,4,1,1994,100071.84,Sí
84,55,No,Travel Rarely,1964.9603174603176,Sales,1,3,Medical,85,4,Female,3,5,Manager,1,Single,15870.83,41264.17,0,Unknown,14,3,0,2,36,4,13,1968,190450.0,Sí
85,41,No,Unknown,1652.34126984127,Sales,10,4,Unknown,86,4,Female,3,4,Manager,2,Unknown,13345.83,34699.17,1,Unknown,19,2,0,2,22,0,4,1982,53914.11,Sí
86,39,No,Travel Rarely,991.8174603174604,Research & Development,1,3,Unknown,87,3,Female,4,3,Healthcare Representative,4,Unknown,8010.83,20828.17,0,No,17,1,3,5,18,3,7,1984,96130.0,No
87,38,No,Unknown,1187.5396825396826,Research & Development,15,2,Life Sciences,88,3,Female,2,3,Research Director,4,Unknown,4492.84,24938.33,0,Unknown,14,2,1,3,11,2,9,1985,115100.0,Sí
88,43,No,Unknown,1582.7713464696226,Research & Development,12,3,Unknown,89,1,Female,2,4,Research Director,2,Unknown,12783.92,33238.2,1,No,11,3,1,3,25,3,9,1980,153407.07,Sí
89,31,No,Unknown,444.26984126984127,Research & Development,30,2,Unknown,90,2,Male,3,2,Manufacturing Director,1,Married,3588.33,9329.67,1,No,12,2,1,5,13,3,12,1992,53914.11,Sí
90,50,No,Travel Rarely,1758.7142857142858,Sales,27,4,Life Sciences,91,27,Female,2,4,Manager,3,Married,14205.0,36933.0,0,No,15,2,1,2,27,15,7,1973,170460.0,Sí
91,35,No,Unknown,1032.4872861766066,Research & Development,25,3,Technical Degree,92,4,Female,2,3,Manufacturing Director,2,Married,8339.32,21682.23,3,No,16,1,0,2,13,4,8,1988,100071.84,No
92,47,No,Unknown,522.7857142857143,Research & Development,16,4,Unknown,93,3,Female,4,2,Manufacturing Director,3,Unknown,4222.5,10978.5,1,Yes,19,3,0,3,19,2,7,1976,53914.11,Sí
93,35,No,Unknown,1032.4872861766066,Research & Development,25,4,Unknown,94,3,Male,3,3,Healthcare Representative,3,Divorced,8339.32,21682.23,1,Yes,11,3,1,3,16,10,1,1988,100071.84,Sí
94,40,No,Travel Rarely,1032.4872861766066,Research & Development,20,4,Unknown,95,1,Female,3,3,Healthcare Representative,4,Married,4492.84,21682.23,4,Unknown,20,4,1,6,11,11,1,1983,100071.84,Sí
95,45,No,Unknown,556.2566609977324,Sales,9,4,Life Sciences,96,2,Male,2,2,Sales Executive,3,Married,4492.84,11681.39,1,Unknown,13,4,1,2,15,4,12,1978,53914.11,No
96,33,No,Unknown,290.03550973654063,Research & Development,9,3,Medical,97,1,Female,3,1,Research Scientist,4,Married,4492.84,6090.75,0,Unknown,13,2,1,5,14,4,10,1990,28111.13,No
97,36,No,Travel Frequently,380.9206349206349,Research & Development,3,3,Unknown,98,3,Female,3,1,Research Scientist,2,Married,3076.67,7999.33,1,No,12,3,0,2,11,0,7,1987,36920.0,No
98,45,Yes,Unknown,1973.9841269841268,Sales,13,3,Marketing,99,1,Male,1,5,Manager,2,Unknown,15943.72,41453.67,2,Yes,16,1,0,2,24,1,11,1978,191324.62,Sí
99,51,No,Travel Frequently,2047.7063492063487,Sales,27,3,Unknown,100,27,Female,3,5,Manager,2,Unknown,4492.84,43001.83,4,Yes,24,1,1,5,29,11,10,1972,198470.0,No
100,34,No,Travel Rarely,238.12698412698413,Sales,7,2,Technical Degree,101,2,Female,3,1,Sales Representative,3,Unknown,4492.84,5000.67,0,Yes,25,2,1,4,11,5,7,1989,23080.0,No
101,43,No,Travel Rarely,1582.7713464696226,Research & Development,15,2,Unknown,102,3,Female,2,4,Research Director,3,Unknown,4492.84,33238.2,1,No,24,1,1,3,14,6,11,1980,153407.07,Sí
102,34,No,Unknown,556.2566609977324,Research & Development,5,2,Medical,103,2,Female,2,2,Laboratory Technician,4,Unknown,4492.84,11681.39,1,No,14,3,1,3,15,4,13,1989,53914.11,No
103,38,No,Unknown,290.03550973654063,Human Resources,2,3,Unknown,104,1,Female,3,1,Human Resources,2,Divorced,2342.59,6090.75,5,No,13,4,3,3,11,3,8,1985,28111.13,Sí
104,48,No,Unknown,1973.9841269841268,Research & Development,10,3,Unknown,105,4,Female,2,5,Research Director,2,Unknown,4492.84,41453.67,4,No,12,4,0,3,22,12,9,1975,191324.62,No
105,34,No,Unknown,592.9444444444445,Research & Development,22,4,Other,106,3,Female,2,2,Research Scientist,4,Married,4789.17,12451.83,1,Yes,15,2,0,3,15,6,11,1989,57470.0,No
106,32,No,Travel Rarely,1075.2857142857142,Sales,31,4,Unknown,107,31,Male,3,3,Sales Executive,4,Unknown,8685.0,22581.0,1,No,19,3,2,3,14,5,7,1991,104220.0,Sí
107,29,No,Travel Rarely,1032.4872861766066,Research & Development,21,4,Life Sciences,108,2,Male,4,3,Manufacturing Director,1,Divorced,8339.32,21682.23,1,No,11,3,1,1,10,8,8,1994,53914.11,No
108,46,No,Unknown,1032.4872861766066,Research & Development,1,3,Medical,109,3,Female,2,3,Healthcare Representative,1,Married,4492.84,21682.23,2,Yes,13,3,1,5,10,9,5,1977,100071.84,No
109,30,No,Unknown,654.8492063492064,Human Resources,9,3,Unknown,110,3,Female,3,2,Human Resources,4,Married,5289.17,13751.83,0,Yes,19,4,0,2,11,4,7,1993,63470.0,No
110,45,No,Unknown,242.25396825396828,Research & Development,9,3,Life Sciences,111,2,Female,3,2,Laboratory Technician,2,Unknown,1956.67,5087.33,8,No,18,3,1,2,17,0,15,1978,23480.0,Sí
111,30,No,Travel Rarely,1032.4872861766066,Sales,5,3,Unknown,112,2,Male,3,3,Sales Executive,4,Unknown,8339.32,21682.23,2,No,12,3,1,2,10,7,4,1993,100071.84,Sí
112,30,No,Unknown,316.95238095238096,Research & Development,9,3,Unknown,113,3,Female,3,2,Laboratory Technician,1,Unknown,4492.84,6656.0,1,No,11,3,2,4,12,6,10,1993,30720.0,Sí
113,34,No,Travel Frequently,556.2566609977324,Research & Development,29,1,Unknown,114,4,Female,2,2,Manufacturing Director,3,Married,4492.84,11681.39,1,Unknown,17,3,0,2,10,1,9,1989,53914.11,No
114,51,No,Travel Rarely,1288.6507936507935,Research & Development,8,4,Life Sciences,115,2,Female,2,3,Research Director,2,Married,10408.33,27061.67,5,No,16,4,2,5,10,4,7,1972,124900.0,No
115,34,No,Unknown,556.2566609977324,Research & Development,39,4,Life Sciences,116,39,Female,2,2,Manufacturing Director,1,Unknown,4492.84,11681.39,6,Unknown,13,2,1,3,11,5,9,1989,53914.11,Sí
116,35,No,Travel Rarely,827.4603174603175,Sales,16,3,Unknown,117,3,Female,3,3,Sales Executive,2,Married,6683.33,17376.67,0,Unknown,15,3,2,3,11,6,9,1988,80200.0,Sí
117,45,No,Travel Frequently,1032.4872861766066,Research & Development,7,3,Life Sciences,118,1,Female,3,3,Laboratory Technician,1,Unknown,8339.32,21682.23,1,Unknown,18,1,1,2,24,9,11,1978,100071.84,Sí
118,39,No,Unknown,1760.9841269841272,Sales,10,1,Unknown,119,3,Female,3,4,Manager,1,Married,4492.84,36980.67,1,Unknown,14,4,0,3,21,11,10,1984,170680.0,Sí
119,31,No,Unknown,922.6904761904764,Research & Development,7,2,Unknown,120,3,Male,2,3,Manufacturing Director,3,Married,7452.5,19376.5,1,No,24,1,1,2,10,8,9,1992,89430.0,No
120,39,No,Unknown,1988.3809523809523,Sales,7,2,Unknown,121,3,Female,2,5,Manager,4,Married,16060.0,41756.0,1,Unknown,15,1,1,2,21,13,3,1984,192720.0,Sí
121,45,No,Travel Rarely,556.2566609977324,Research & Development,8,4,Unknown,122,4,Female,3,2,Research Scientist,4,Unknown,4492.84,11681.39,9,No,14,1,2,3,10,9,8,1978,53914.11,Sí
122,30,No,Travel Rarely,556.2566609977324,Sales,5,3,Marketing,123,4,Male,2,2,Sales Executive,3,Unknown,4492.84,11681.39,1,Unknown,13,3,3,2,10,1,2,1993,53914.11,Sí
123,31,No,Unknown,1032.4872861766066,Research & Development,7,4,Medical,124,3,Male,3,3,Manufacturing Director,4,Unknown,8339.32,21682.23,1,Unknown,14,3,0,2,11,4,10,1992,100071.84,No
124,36,No,Unknown,1032.4872861766066,Sales,3,4,Medical,125,1,Female,2,3,Sales Executive,4,Married,8339.32,21682.23,4,No,11,1,1,2,13,1,12,1987,100071.84,Sí
125,36,No,Travel Rarely,1032.4872861766066,Sales,2,2,Unknown,126,2,Female,2,3,Sales Executive,3,Married,4492.84,21682.23,1,Unknown,13,2,2,2,10,9,0,1987,100071.84,Sí
126,55,No,Travel Rarely,1582.7713464696226,Sales,18,5,Unknown,127,1,Male,3,4,Manager,2,Single,12783.92,33238.2,3,No,23,4,0,2,10,7,7,1968,153407.07,Sí
127,35,No,Unknown,556.2566609977324,Sales,1,3,Unknown,128,2,Female,3,2,Sales Executive,3,Unknown,4492.84,11681.39,9,Unknown,11,3,0,2,11,6,9,1988,53914.11,Sí
128,42,No,Travel Rarely,1032.4872861766066,Research & Development,24,3,Medical,129,4,Female,3,3,Manufacturing Director,1,Married,8339.32,21682.23,1,Unknown,21,4,1,5,10,5,8,1981,100071.84,No
129,52,No,Travel Rarely,575.4047619047619,Research & Development,6,2,Unknown,130,4,Female,3,2,Research Scientist,1,Divorced,4647.5,12083.5,3,Yes,12,2,2,3,10,6,9,1971,55770.0,Sí
130,49,No,Unknown,1973.9841269841268,Research & Development,18,4,Life Sciences,131,4,Female,2,5,Research Director,3,Unknown,4492.84,41453.67,1,Yes,17,3,1,5,31,0,9,1974,191324.62,Sí
131,34,No,Travel Rarely,277.6428571428572,Research & Development,1,5,Unknown,132,2,Female,3,1,Research Scientist,4,Married,2242.5,5830.5,1,No,12,4,1,4,10,8,8,1989,26910.0,Sí
132,33,Yes,Travel Rarely,290.03550973654063,Research & Development,1,4,Other,133,4,Female,3,1,Research Scientist,4,Single,2342.59,6090.75,1,Unknown,13,3,0,2,10,7,8,1990,28111.13,No
133,33,No,Unknown,1032.4872861766066,Research & Development,7,3,Medical,134,3,Female,3,3,Research Director,3,Married,8339.32,21682.23,0,No,11,4,0,3,13,3,7,1990,53914.11,Sí
134,53,No,Travel Rarely,1582.7713464696226,Research & Development,23,4,Unknown,135,4,Male,3,4,Research Director,4,Unknown,12783.92,33238.2,6,No,18,3,0,0,12,3,8,1970,153407.07,Sí
